型号,机号,传动方式,主轴转速,流量,全压,电机型号,功率
T30,4,,2800,8750,327.6,Y90L-2,2.2
T30,4,,1400,2140,72.6,IAO5614,0.09
T30,4,,1400,2810,72.6,IAO5634,0.18
T30,4,,1400,3340,78.5,IAO5634,0.18
T30,4,,1400,3880,81.4,IAO5634,0.18
T30,4,,1400,4410,83.4,IAO7124,0.25
T30,5,,1410,4150,113.7,Y801-4,0.55
T30,5,,1410,5450,113.7,Y801-4,0.55
T30,5,,1410,6500,121.7,Y801-4,0.55
T30,5,,1410,7500,126.5,Y801-4,0.55
T30,5,,1410,8550,130.5,Y802-4,0.75
T30,5,,906,2780,51,Y90S-6,0.75
T30,5,,960,3640,51,Y90S-6,0.75
T30,5,,960,4340,45.9,Y90S-6,0.75
T30,5,,960,5040,56.8,Y90S-6,0.75
T30,5,,960,5730,57.8,Y90S-6,0.75
T30,6,,1450,7250,166.8,Y90S-4,1.1
T30,6,,1450,9500,166.8,Y90S-4,1.1
T30,6,,1450,11300,178.5,Y90S-4,1.1
T30,6,,1450,13100,185.4,Y90L-4,1.5
T30,6,,1450,15000,190.3,Y100L1-4,2.2
T30,6,,960,4800,73.5,Y90S-6,0.75
T30,6,,960,6300,73.5,Y90S-6,0.75
T30,6,,960,7500,78.5,Y90S-6,0.75
T30,6,,960,8700,81.4,Y90S-6,0.75
T30,6,,960,9900,83.3,Y90S-6,0.75
T30,7,,1450,1500,227.5,Y90L-4,1.5
T30,7,,1450,15100,227.5,Y100L1-4,2.2
T30,7,,1450,18000,243.3,Y100L1-4,2.2
T30,7,,1450,20900,253,Y100L2-4,3
T30,7,,1450,23800,258.9,Y100L2-4,3
T30,7,,960,7650,93.1,Y90S-6,0.75
T30,7,,960,10100,93.1,Y90S-6,0.75
T30,7,,960,12000,98.1,Y90S-6,0.75
T30,7,,960,13900,103,Y90S-6,0.75
T30,7,,960,15800,105,Y90L-6,1.1
T30,8,,1450,17300,294.2,Y100L2-4,3
T30,8,,1450,22700,294.2,Y112M-4,4
T30,8,,1450,27000,314,Y132S-4,5.5
T30,8,,1450,31300,323.4,Y132S-4,5.5
T30,8,,1450,35600,333.2,Y132M-4,7.5
T30,8,,960,11400,130.4,Y90S-6,0.75
T30,8,,960,14900,130.5,Y90L-6,1.1
T30,8,,960,17800,139.2,Y100L-6,1.5
T30,8,,960,20600,145.1,Y112M-6,2.2
T30,8,,960,23500,149,Y112M-6,2.2
T30,9,,960,16200,164.8,Y100L-6,1.5
T30,9,,960,21200,164.8,Y112M-6,2.2
T30,9,,960,25200,176.6,Y112M-6,2.2
T30,9,,960,29300,183.4,Y132S-6,3
T30,9,,960,33400,186.4,Y132M1-6,4
T30,10,,960,22600,206,Y112M-6,2.2
T30,10,,960,29700,206,Y132S-6,3
T30,10,,960,35400,225.6,Y132M1-6,4
T30,10,,960,41000,235.4,Y132M2-6,5.5
T30,10,,960,46700,242.3,Y160M-6,7.5
T30,3,,2790,1960,187.3,IAO5632,0.25
T30,3,,2790,2400,209.9,IAO5632,0.25
T30,3,,2790,3000,220.7,IAO7112,0.37
T30,3,,2790,3600,235.44,IAO7122,0.55
T30,3,,2790,4100,259.9,IAO7122,0.55
T30,3,,1390,980,47,IAO5614,0.09
T30,3,,1390,1200,51.9,IAO5614,0.09
T30,3,,1390,1500,55.9,IAO5614,0.09
T30,3,,1390,1800,58.9,IAO5614,0.09
T30,3,,1390,2050,63.7,IAO5614,0.09
T30,3.5,,2850,2900,241.3,IAO7122,0.55
T30,3.5,,2850,3800,259.9,IAO7122,0.55
T30,3.5,,2850,4510,279.5,IAO7123,0.75
T30,3.5,,2850,5240,304.1,Y802-2,1.1
T30,3.5,,2850,6340,328.6,Y802-2,1.1
T30,3.5,,1410,1435,59.8,IAO5614,0.09
T30,3.5,,1410,1880,63.7,IAO5614,0.09
T30,3.5,,1410,2240,69.6,IAO5614,0.09
T30,3.5,,1410,2600,72.5,IAO5634,0.18
T30,3.5,,1410,3140,80.4,IAO5634,0.18
T30,4,,2800,4410,333.5,Y801-2,0.75
T30,4,,2800,5600,374.7,Y802-2,1.1
T30,4,,2800,7000,397.3,Y90S-2,1.5
T30,4,,2800,8400,418.8,Y90L-2,2.2
T30,4,,2800,10000,463,Y100L-2,3
T30,4,,1400,2300,84.3,IAO5624,0.12
T30,4,,1400,2800,94.1,IAO5634,0.18
T30,4,,1400,3500,98.1,IAO7124,0.25
T30,4,,1400,4700,107.9,IAO7124,0.25
T30,4,,1400,5000,117.7,IAO7124,0.37
T30,5,,1410,4500,129.4,Y801-4,0.55
T30,5,,1410,5600,144.2,Y801-4,0.55
T30,5,,1410,7000,153,Y801-4,0.55
T30,5,,1410,8300,161.8,Y802-4,0.75
T30,5,,1410,9600,176.6,T90S-4,1.1
T30,5,,960,3000,57.8,Y90S-6,0.75
T30,5,,960,3720,64.7,Y90S-6,0.75
T30,5,,960,4600,67.6,Y90S-6,0.75
T30,5,,960,5400,71.6,Y90S-6,0.75
T30,5,,960,6350,79.4,Y90S-6,0.75
T30,6,,1450,7800,186.3,Y90S-4,1.1
T30,6,,1450,9700,209.9,Y90S-4,1.1
T30,6,,1450,12000,220.7,Y90L-4,1.5
T30,6,,1450,14000,235.4,Y100L1-4,2.2
T30,6,,1450,16500,259.9,Y100L1-4,2.2
T30,6,,960,5170,83.3,Y90S-6,0.75
T30,6,,960,6430,93.1,Y90S-6,0.75
T30,6,,960,7940,101,Y90S-6,0.75
T30,6,,960,9270,103.9,Y90S-6,0.75
T30,6,,960,10930,114.7,Y90S-6,0.75
T30,7,,1450,12500,225.1,Y100L1-4,2.2
T30,7,,1450,15100,284.5,Y100L1-4,2.2
T30,7,,1450,19000,304.1,Y100L2-4,3
T30,7,,1450,22500,320.7,Y112M-4,4
T30,7,,1450,26000,353.2,Y132S-4,5.5
T30,7,,960,8270,112.8,Y90S-6,0.75
T30,7,,960,10100,125.5,Y90S-6,0.75
T30,7,,960,12600,1333.4,Y90S-6,0.75
T30,7,,960,14900,140.2,Y90L-6,1.1
T30,7,,960,17200,154.9,Y100L-6,1.5
T30,8,,1450,17600,181.4,Y112M-6,2.2
T30,8,,1450,23000,197.1,Y112M-6,2.2
T30,8,,1450,27400,211.8,Y132S-6,3
T30,8,,1450,31800,223.6,Y132M1-6,4
T30,8,,1450,38200,246.2,Y132M2-6,5.5
T30,8,,960,11800,223.6,Y132S-6,3
T30,8,,960,15300,242.3,Y132M1-6,4
T30,8,,960,18250,260.9,Y132M2-6,5.5
T30,8,,960,21200,276.1,Y90S-6,7.5
T30,8,,960,25500,302.1,Y90L-6,11
T30,9,,960,16600,181.4,Y112M-6,2.2
T30,9,,960,21800,197.1,Y112M-6,2.2
T30,9,,960,26000,211.8,Y132S-6,3
T30,9,,960,30600,223.6,Y132M1-6,4
T30,9,,960,36200,246.2,Y132M2-6,5.5
T30,10,,960,22700,223.6,Y132S-6,3
T30,10,,960,30000,242.3,Y132M1-6,4
T30,10,,960,35500,260.9,Y132M2-6,5.5
T30,10,,960,41200,276.1,Y90S-6,7.5
T30,10,,960,49500,302.1,Y90L-6,11
T30,3,,2790,2000,206,IAO7112,0.37
T30,3,,2790,2500,235.4,IAO7112,0.37
T30,3,,2790,3000,269.7,IAO7122,0.55
T30,3,,2790,3400,274.7,IAO7122,0.55
T30,3,,2790,4100,284.5,IAO7132,0.75
T30,3,,1390,1000,51,IAO5614,0.09
T30,3,,1390,1250,58.9,IAO5614,0.09
T30,3,,1390,1500,66.7,IAO5614,0.09
T30,3,,1390,1700,68.8,IAO5614,0.09
T30,3,,1390,2050,70.6,IAO5614,0.09
T30,3.5,,2850,3080,266.8,IAO7122,0.55
T30,3.5,,2850,3960,299.2,IAO7132,0.75
T30,3.5,,2850,4510,343.4,Y802-2,1.1
T30,3.5,,2850,5060,353.2,Y802-2,1.1
T30,3.5,,2850,6340,358.1,Y90S-2,1.5
T30,3.5,,1410,1520,65.7,IAO5614,0.09
T30,3.5,,1410,1970,72.5,IAO5614,0.09
T30,3.5,,1410,2240,84.4,IAO5634,0.18
T30,3.5,,1410,2510,86.3,IAO5634,0.18
T30,3.5,,1410,3140,88.3,IAO5634,0.18
T30,4,,2800,4800,370.8,Y802-2,1.1
T30,4,,2800,6000,418.8,Y90S-2,1.5
T30,4,,2800,7000,484.6,Y90L-2,2.2
T30,4,,2800,8200,497.4,Y90L-2,2.2
T30,4,,2800,10000,506.1,Y100L-2,3
T30,4,,1400,2400,93.1,IAO5634,0.18
T30,4,,1400,3000,107.9,IAO7124,0.25
T30,4,,1400,3500,122.6,IAO7124,0.25
T30,4,,1400,4100,127.5,IAO7124,0.37
T30,4,,1400,5000,127.5,IAO7124,0.37
T30,5,,1410,4800,147.2,Y801-4,0.55
T30,5,,1410,5900,166.8,Y801-4,0.55
T30,5,,1410,7000,186.4,Y802-4,0.75
T30,5,,1410,8000,193.2,Y90S-4,1.1
T30,5,,1410,9600,196.2,Y90S-4,1.1
T30,5,,960,3180,63.7,Y90S-6,0.75
T30,5,,960,3900,71.6,Y90S-6,0.75
T30,5,,960,4600,83.3,Y90S-6,0.75
T30,5,,960,5300,85.3,Y90S-6,0.75
T30,5,,960,6350,87.3,Y90S-6,0.75
T30,6,,1450,8300,206,Y90S-4,1.1
T30,6,,1450,10000,235.4,Y90L-4,1.5
T30,6,,1450,12000,270.7,Y100L1-4,2.2
T30,6,,1450,14000,274.7,Y100L1-4,2.2
T30,6,,1450,16500,284.5,Y100L24,3
T30,6,,960,5500,91.2,Y90S-6,0.75
T30,6,,960,6760,103,Y90S-6,0.75
T30,6,,960,7950,119.6,Y90S-6,0.75
T30,6,,960,9270,122.6,Y90S-6,0.75
T30,6,,960,10950,125.5,Y90S-6,0.75
T30,7,,1450,13000,284.5,Y100L1-4,2.2
T30,7,,1450,16000,319.8,Y100L2-4,3
T30,7,,1450,19000,372.8,Y112M-4,4
T30,7,,1450,22000,382.6,Y132S-4,5.5
T30,7,,1450,26000,382.4,Y132S-4,5.5
T30,7,,960,8600,124.2,Y90S-6,0.75
T30,7,,960,10600,141.2,Y90S-4,0.75
T30,7,,960,12600,162.8,Y90L-6,1.1
T30,7,,960,14500,166.8,Y100L-6,1.5
T30,7,,960,17200,169.7,Y100L-6,1.5
T30,8,,1450,18700,362.9,Y112M-4,4
T30,8,,1450,24200,404.1,Y132S-4,5.5
T30,8,,1450,27400,464,Y132M-4,7.5
T30,8,,1450,30800,477.7,Y160M-4,11
T30,8,,1450,38200,485.5,Y160M-4,11
T30,8,,960,12400,158.9,Y100L-6,1.5
T30,8,,960,16000,176.6,Y100L-6,1.5
T30,8,,960,18250,204,Y112M-6,2.2
T30,8,,960,20400,209.9,Y132S-6,3
T30,8,,960,25500,213.8,Y132S-6,3
T30,9,,960,17700,202,Y112M-6,2.2
T30,9,,960,22800,223.6,Y132S-6,3
T30,9,,960,26000,258,Y132M1-6,4
T30,9,,960,29000,264.9,Y132M1-6,4
T30,9,,960,36200,270.7,Y132M2-6,5.5
T30,10,,960,24200,249.1,Y132M1-6,4
T30,10,,960,31400,276.6,Y132M2-6,5.5
T30,10,,960,35500,318.8,Y160M-6,7.5
T30,10,,960,40000,327.6,Y160M-6,7.5
T30,10,,960,49500,338.5,Y160L-6,11
T35,2.8,,2900,1224,128,YSF-5622,0.12
T35,2.8,,2900,1742,141,YSF-5632,0.18
T35,2.8,,2900,2560,143,YSF-5632,0.18
T35,2.8,,2900,2495,165,YSF-6322,0.35
T35,2.8,,2900,2778,186,YSF-6332,0.37
T35,2.8,,1450,613,128,YSF-5014,0.025
T35,2.8,,1450,873,141,YSF-5014,0.025
T35,2.8,,1450,1133,143,YSF-5014,0.025
T35,2.8,,1450,1251,165,YSF-5024,0.04
T35,2.8,,1450,1392,186,YSF-5024,0.04
T35,3.15,,2900,1994,170.1,YSF-6312,0.18
T35,3.15,,2900,2681,186.6,YSF-6322,0.25
T35,3.15,,2900,3418,189.2,YSF-6332,0.37
T35,3.15,,2900,3753,217.7,YSF-7122,0.55
T35,3.15,,2900,4155,247,YSF-7122,0.55
T35,3.15,,1450,972,42.5,YSF-5014,0.025
T35,3.15,,1450,1340,46.6,YSF-5024,0.04
T35,3.15,,1450,1709,47.2,YSF-5024,0.04
T35,3.15,,1450,1877,54.9,YSF-5614,0.06
T35,3.15,,1450,2078,61.7,YSF-5624,0.09
T35,3.55,,2900,2783,216.1,YSF-7112,0.37
T35,3.55,,2900,3839,237,YSF-7122,0.55
T35,3.55,,2900,4895,240.3,YSF-7132,0.75
T35,3.55,,2900,5375,279,YSF-7132,0.75
T35,3.55,,2900,5951,313.6,YSF-8022,1.1
T35,3.55,,1450,1394,45,YSF-5024,0.04
T35,3.55,,1450,1923,59.2,YSF-5614,0.06
T35,3.55,,1450,2452,60.2,YSF-5624,0.09
T35,3.55,,1450,2692,69.7,YSF-5624,0.09
T35,3.55,,1450,2981,78.4,YSF-6314,0.12
T35,4,,2900,3980,274.3,YSF-7132,0.75
T35,4,,2900,5489,300.9,YSF-8022,1.1
T35,4,,2900,6999,205.1,YSF-8022,1.1
T35,4,,2900,7685,354,YT90S-2,1.5
T35,4,,2900,8500,398.2,YT90L-2,2.2
T35,4,,1450,1993,68.6,YSF-5624,0.09
T35,4,,1450,2749,75.2,YSF-6314,0.12
T35,4,,1450,3505,76.2,YSF-6324,0.18
T35,4,,1450,3849,88.5,YSF-6324,0.18
T35,4,,1450,4261,99.5,YSF-7114,0.25
T35,4.5,,1450,2838,86.8,YSF-6314,0.12
T35,4.5,,1450,3914,95.2,YSF-6324,0.18
T35,4.5,,1450,4991,96.5,YSF-7114,0.25
T35,4.5,,1450,5480,112,YSF-7124,0.37
T35,4.5,,1450,6067,126,YSF-7124,0.37
T35,5,,1450,4289,112.6,YSF-7114,0.25
T35,5,,1450,5763,124.8,YSF-7124,0.37
T35,5,,1450,7273,129.6,YSF-8014,0.55
T35,5,,1450,7907,145.6,YSF-8014,0.55
T35,5,,1450,8712,164.6,YSF-8024,0.75
T35,5,,960,2839,49.1,YSF-8026,0.37
T35,5,,960,3815,54.4,YSF-8026,0.37
T35,5,,960,4792,56.8,YSF-8026,0.37
T35,5,,960,5235,63.5,YSF-8026,0.37
T35,5,,960,5768,71.8,YSF-8026,0.37
T35,5.6,,1450,6025,140.9,YSF-7124,0.37
T35,5.6,,1450,8097,156.1,YSF-8014,0.55
T35,5.6,,1450,10168,162.6,YSF-8024,0.75
T35,5.6,,1450,11110,182.1,YT90S-4,1.1
T35,5.6,,1450,12239,206,YT90S-4,1.1
T35,5.6,,960,3989,61.8,YSF-8026,0.37
T35,5.6,,960,5361,68.4,YSF-8026,0.37
T35,5.6,,960,6732,71.3,YSF-8026,0.37
T35,5.6,,960,7355,79.8,YSF-8026,0.37
T35,5.6,,960,8103,90.3,YSF-8026,0.37
T35,6.3,,1450,8579,178.3,YSF-8024,0.75
T35,6.3,,1450,11528,197.6,YT90S-4,1.1
T35,6.3,,1450,14477,205.8,YT90L-4,1.5
T35,6.3,,1450,15817,230.5,YT90L-4,1.5
T35,6.3,,1450,17426,260.7,YT100L-4,2.2
T35,6.3,,960,5680,78.2,YSF-8026,0.37
T35,6.3,,960,7632,86.6,YSF-8026,0.37
T35,6.3,,960,9585,90.2,YSF-8026,0.37
T35,6.3,,960,10472,101,YT90S-6,0.75
T35,6.3,,960,11534,114.3,YT90S-6,0.75
T35,7.1,,1450,12280,226.5,YT90L-4,1.5
T35,7.1,,1450,16501,250.69,YT100L1-4,2.2
T35,7.1,,1450,20722,261.4,YT100L2-4,3
T35,7.1,,1450,22641,292.7,YT100L2-4,3
T35,7.1,,1450,24944,331.1,YT112M-4,4
T35,7.1,,960,8130,99.3,YT90S-6,0.75
T35,7.1,,960,10925,110,YT90S-6,0.75
T35,7.1,,960,17320,114.6,YT90S-6,0.75
T35,7.1,,960,14990,128.4,YT90L-6,1.1
T35,7.1,,960,16514,145.2,YT90L-6,1.1
T35,8,,1450,17567,287.6,YT100L2-4,3
T35,8,,1450,23605,318.6,YT110M-4,4
T35,8,,1450,29644,331.8,YT132S-4,5.5
T35,8,,1450,32389,371.6,YT132S-4,5.5
T35,8,,1450,35682,420.3,YT132M-4,7.5
T35,8,,960,11630,126.1,YT90S-6,0.75
T35,8,,960,165628,139.6,YT90L-4,1.1
T35,8,,960,19626,131.1,YT90L-4,1.1
T35,8,,960,21444,162.9,YT100L-6,1.5
T35,8,,960,23624,184.2,YT112M-6,2.2
T35,9,,960,16560,159.5,YT100L-6,1.5
T35,9,,960,22252,176.7,YT112M-6,2.2
T35,9,,960,27944,184.1,YT112M-6,2.2
T35,9,,960,30532,206.2,YT132S-6,3
T35,9,,960,33937,233.2,YT132M1-6,4
T35,10,,960,22716,197,YT112M1-6,1.5
T35,10,,960,30524,218.2,YT132S-6,2.2
T35,10,,960,38333,227.3,YT132M1-6,2.2
T35,10,,960,41882,254.5,YT160M-6,3
T35,10,,960,46141,287.9,YT160M-6,4
T35,11.2,,960,31914,247,YT132M1-6,4
T35,11.2,,960,42884,273.7,YT132M2-6,4.5
T35,11.2,,960,53855,285.1,YT160M-6,7.5
T35,11.2,,960,85541,319.3,YT160L-6,11
T35,11.2,,960,64825,361.1,YT160L-6,11
BT35,2.8,,2900,1102,122,YBFA-6312,0.18
BT35,2.8,,2900,1568,134,YBFA-6312,0.18
BT35,2.8,,2900,2304,136,YBFA-6312,0.18
BT35,2.8,,2900,2246,157,YBFA-6312,0.18
BT35,2.8,,2900,2500,177,YBFA-6322,0.25
BT35,2.8,,1450,552,30,YBFA-6314,0.12
BT35,2.8,,1450,786,33,YBFA-6314,0.12
BT35,2.8,,1450,1020,34,YBFA-6314,0.12
BT35,2.8,,1450,1126,39,YBFA-6314,0.12
BT35,2.8,,1450,1253,44,YBFA-6314,0.12
BT35,3.15,,2900,1750,162,YBFA-6312,0.18
BT35,3.15,,2900,2413,177,YBFA-6322,0.25
BT35,3.15,,2900,3076,180,YBFA-6332,0.37
BT35,3.15,,2900,3378,207,YBFA-6332,0.37
BT35,3.15,,2900,3739,235,YBFA-7122,0.55
BT35,3.15,,1450,875,40,YBFA-6314,0.12
BT35,3.15,,1450,1206,44,YBFA-6314,0.12
BT35,3.15,,1450,1538,45,YBFA-6314,0.12
BT35,3.15,,1450,1689,52,YBFA-6314,0.12
BT35,3.15,,1450,1870,59,YBFA-6314,0.12
BT35,3.55,,2900,2505,205,YBFA-7122,0.55
BT35,3.55,,2900,3455,225,YBFA-7122,1.1
BT35,3.55,,2900,4406,237,YBFA-7122,1.1
BT35,3.55,,2900,4838,265,YBFA-7132,1.1
BT35,3.55,,2900,5356,298,YBFA-8012,1.5
BT35,3.55,,1450,1255,51,YBFA-6314,0.12
BT35,3.55,,1450,1731,56,YBFA-6314,0.12
BT35,3.55,,1450,2207,65,YBFA-6314,0.12
BT35,3.55,,1450,2423,66,YBFA-6314,0.18
BT35,3.55,,1450,2683,75,YBFA-6314,0.25
BT35,4.5,,1450,2554,82,YBFA-6314,0.12
BT35,4.5,,1450,3523,90,YBFA-6324,0.18
BT35,4.5,,1450,4492,92,YBFA-7114,0.25
BT35,4.5,,1450,4932,106,YBFA-7124,0.37
BT35,4.5,,1450,5460,120,YBFA-7124,0.37
BT35,5,,1450,3860,107,YBFA-7114,0.25
BT35,5,,1450,5187,119,YBFA-7124,0.37
BT35,5,,1450,6513,123,YBFA-7124,0.37
BT35,5,,1450,7136,138,YBFA-8014,0.55
BT35,5,,1450,7841,156,YBFA-8024,0.75
BT35,5,,960,2555,47,YBFA-8026,0.37
BT35,5,,960,3434,52,YBFA-8026,0.37
BT35,5,,960,4313,54,YBFA-8026,0.37
BT35,5,,960,4712,60,YBFA-8026,0.37
BT35,5,,960,5191,68,YBFA-8026,0.37
BT35,5.6,,1450,5423,134,YBFA-7124,0.37
BT35,5.6,,1450,7287,146,YBFA-8014,0.55
BT35,5.6,,1450,9151,154,YBFA-8024,0.75
BT35,5.6,,1450,9999,173,YBFA-90S4,1.1
BT35,5.6,,1450,11015,196,YBFA-90S4,1.1
BT35,5.6,,960,3590,59,YBFA-8026,0.37
BT35,5.6,,960,4825,65,YBFA-8026,0.37
BT35,5.6,,960,6059,68,YBFA-8026,0.37
BT35,5.6,,960,6620,76,YBFA-8026,0.37
BT35,5.6,,960,7293,86,YBFA-8026,0.37
BT35,6.3,,1450,7721,169,YBFA-8024,0.75
BT35,6.3,,1450,10375,188,YBFA-90S4,1.1
BT35,6.3,,1450,13029,196,YBFA-90L4,1.5
BT35,6.3,,1450,14235,219,YBFA-90L4,1.5
BT35,6.3,,1450,15683,248,YBFA100L1-4,2.2
BT35,6.3,,960,5112,74,YBFA-8026,0.37
BT35,6.3,,960,6869,82,YBFA-8026,0.37
BT35,6.3,,960,8627,86,YBFA-8026,0.37
BT35,6.3,,960,9425,96,YBFA-8026,0.75
BT35,6.3,,960,10384,109,YBFA-8026,0.75
BT35,7.1,,1450,11052,215,YBFA-90L4,1.5
BT35,7.1,,1450,14851,238,YBFA100L1-4,2.2
BT35,7.1,,1450,18650,248,YBFA100L1-4,2.2
BT35,7.1,,1450,20677,278,YBFA100L2-4,3
BT35,7.1,,1450,22450,315,YBFA112M-4,4
BT35,7.1,,960,7317,94,YBFA-90S6,0.75
BT35,7.1,,960,9833,105,YBFA-90S6,0.75
BT35,7.1,,960,12348,109,YBFA-90S6,0.75
BT35,7.1,,960,13491,122,YBFA-90S6,0.75
BT35,7.1,,960,14863,138,YBFA-90L6,1.1
BT35,8,,1450,15870,273,YBFA100L1-4,2.2
BT35,8,,1450,21245,303,YBFA112M-4,4
BT35,8,,1450,26680,315,YBFA112M-4,4
BT35,8,,1450,29150,353,YBFA132S-4,5.5
BT35,8,,1450,32114,399,YBFA132M-4,7.5
BT35,8,,960,10467,120,YBFA-90S6,0.75
BT35,8,,960,14065,133,YBFA-90L6,1.1
BT35,8,,960,17663,125,YBFA-100L6,1.5
BT35,8,,960,19299,155,YBFA-100L6,1.5
BT35,8,,960,21262,175,YBFA112M-4,2.2
BT35,9,,960,14904,152,YBFA100L-6,1.5
BT35,9,,960,20027,169,YBFA112M-6,2.2
BT35,9,,960,25150,175,YBFA112M-6,2.2
BT35,9,,960,27479,196,YBFA132S-6,3
BT35,9,,960,30273,222,YBFA132M1-6,4
BT35,10,,960,20444,187,YBFA112M-6,2.2
BT35,10,,960,27472,207,YBFA132S-6,3
BT35,10,,960,34500,216,YBFA132M1-6,4
BT35,10,,960,37694,242,YBFA132M1-6,4
BT35,10,,960,41527,274,YBFA160M-6,7.5
BT35,11.2,,960,28723,235,YBFA132M1-6,4
BT35,11.2,,960,38596,260,YBFA132M2-6,5.5
BT35,11.2,,960,48470,271,YBFA160M-6,7.5
BT35,11.2,,960,52957,303,YBFA160M-6,7.5
BT35,11.2,,960,58343,341,YBFA160L-6,11
DZ-11,2.2,C,1450,400,29.4,,0.025
DZ-11,3,C,1450,1600,39.2,,0.06
DZ-11,4,B,960,4000,98,,0.25
DZ-11,5,A,720,6000,78.5,,0.25
DZ-11,5,B,960,7000,127.5,,0.37
DZ-11,6,A,720,9500,88.3,,0.55
DZ-11,7,A,720,15000,117.7,,1.1
DZ-11,8,A,720,22000,157,,1.5
DZ-12,3,C,1450,1600,39.2,,0.06
DZ-12,4,B,960,4000,98,,0.25
DZ-12,5,A,720,6000,78.5,,0.25
DZ-12,5,B,960,7000,127.5,,0.37
DZ-12,6,A,720,9500,88.3,,0.55
DZ-12,6,B,960,14000,177.1,,1.1
DZ-12,7,A,720,14500,137,,1.1
DZ-12,7,B,960,22000,196,,2.2
DZ-12,7,C,1450,25000,294,,3
DZ-12,8,A,720,23000,147,,15
DZ-13,2.5,D,2800,2000,217.8,,0.37
DZ-13,3,C,1450,1600,464,,0.06
DZ-13,3.2,D,2800,3000,218.4,,0.37
DZ-13,4,C,1450,5000,147.8,,0.55
DZ-13,5,B,960,5500,114.1,,0.37
DZ-13,5,C,1450,7000,145.2,,0.75
DZ-13,6,B,960,10000,154.2,,1.1
DZ-13,6,C,1450,15000,213.6,,2.2
DZ-13,7,A,720,14000,127.9,,1.1
DZ-13,7,B,960,18000,215.7,,2.2
DZ-13,7,C,1450,20000,268.1,,3
DZ-13,8,A,720,20000,139.7,,1.5
DZ-13,8,B,960,25000,199,,2.2
DZ-13,8,C,1450,28000,236.7,,4
DZ-13,10,A,720,38000,169.1,,3
DZ-13,10,B,960,48500,285.7,,5.5
DWT-Ⅰ,3,,2850,3300,181,,0.37
DWT-Ⅰ,3,,2850,3000,206,,0.37
DWT-Ⅰ,3,,2850,2600,232,,0.37
DWT-Ⅰ,3,,1450,1650,62,,0.06
DWT-Ⅰ,3,,1450,1560,66,,0.06
DWT-Ⅰ,3,,1450,1450,72,,0.06
DWT-Ⅰ,4,,2850,7450,193,,0.75
DWT-Ⅰ,4,,2850,6350,230,,0.75
DWT-Ⅰ,4,,2850,5300,250,,0.75
DWT-Ⅰ,4,,1450,5700,176,,0.55
DWT-Ⅰ,4,,1450,5400,184,,0.55
DWT-Ⅰ,4,,1450,4580,190,,0.55
DWT-Ⅰ,5,,1450,8000,135,,0.55
DWT-Ⅰ,5,,1450,7000,162,,0.55
DWT-Ⅰ,5,,1450,5600,191,,0.55
DWT-Ⅰ,5,,960,7000,113,,0.37
DWT-Ⅰ,5,,960,6700,122,,0.37
DWT-Ⅰ,5,,960,6400,131,,0.37
DWT-Ⅰ,5,,720,6000,88,,0.25
DWT-Ⅰ,5,,720,5000,92,,0.25
DWT-Ⅰ,5,,720,4100,96,,0.25
DWT-Ⅰ,6,,1450,15000,232,,1.5
DWT-Ⅰ,6,,1450,14000,251,,1.5
DWT-Ⅰ,6,,1450,13000,267,,1.5
DWT-Ⅰ,6,,960,11000,168,,1.1
DWT-Ⅰ,6,,960,10000,183,,1.1
DWT-Ⅰ,6,,960,9100,193,,1.1
DWT-Ⅰ,6,,720,8500,111,,0.55
DWT-Ⅰ,6,,720,8000,127,,0.55
DWT-Ⅰ,6,,720,7600,136,,0.55
DWT-Ⅰ,7,,960,17500,165,,1.5
DWT-Ⅰ,7,,960,15000,201,,1.5
DWT-Ⅰ,7,,960,12500,212,,1.5
DWT-Ⅰ,7,,720,12000,141,,0.75
DWT-Ⅰ,7,,720,11000,163,,0.75
DWT-Ⅰ,7,,720,9200,177,,0.75
DWT-Ⅰ,7,,560,9300,83,,0.55
DWT-Ⅰ,7,,560,8500,94,,0.55
DWT-Ⅰ,7,,560,7200,102,,0.55
DWT-Ⅰ,8,,960,27000,175,,2.2
DWT-Ⅰ,8,,960,25000,207,,2.2
DWT-Ⅰ,8,,960,23000,228,,2.2
DWT-Ⅰ,8,,720,20000,129,,1.5
DWT-Ⅰ,8,,720,18000,154,,1.5
DWT-Ⅰ,8,,720,16000,167,,1.5
DWT-Ⅰ,8,,560,15750,78,,0.75
DWT-Ⅰ,8,,560,14500,96,,0.75
DWT-Ⅰ,8,,560,12250,121,,0.75
DWT-Ⅰ,9,,960,34500,202,,3
DWT-Ⅰ,9,,960,29000,236,,3
DWT-Ⅰ,9,,960,24000,256,,3
DWT-Ⅰ,9,,720,32000,126,,2.2
DWT-Ⅰ,9,,720,28000,156,,2.2
DWT-Ⅰ,9,,720,24000,177,,2.2
DWT-Ⅰ,9,,560,24000,102,,1.1
DWT-Ⅰ,9,,560,21500,118,,1.1
DWT-Ⅰ,9,,560,18600,126,,1.1
DWT-Ⅰ,10,,960,50000,251,,5.5
DWT-Ⅰ,10,,960,45000,286,,5.5
DWT-Ⅰ,10,,960,39000,317,,5.5
DWT-Ⅰ,10,,720,46000,141,,3
DWT-Ⅰ,10,,720,40000,167,,3
DWT-Ⅰ,10,,720,35000,183,,3
DWT-Ⅰ,10,,560,28000,111,,1.5
DWT-Ⅰ,10,,560,24000,125,,1.5
